h3_d,traffic_ct,geometry
872b992e2ffffff,20,"POLYGON ((-77.68541201517958 42.984257874908145, -77.70031548302921 42.977035419666116, -77.69878650818353 42.96440964161233, -77.68236260254876 42.95900562876643, -77.6674621303978 42.96622431807855, -77.66898256743012 42.97885078516563, -77.68541201517958 42.984257874908145))"
872b89009ffffff,3,"POLYGON ((-73.8142628826254 42.630432317500386, -73.82961485963935 42.62375049363511, -73.82915482975166 42.61114898043704, -73.81335133910045 42.60522921374234, -73.79800336849682 42.611907544548004, -73.7984548819801 42.6245091340863, -73.8142628826254 42.630432317500386))"
872b992f4ffffff,6,"POLYGON ((-77.72135395627897 43.02032715621365, -77.73626340710099 43.01309716338275, -77.73472336146236 43.00046690047854, -77.71828241355918 42.99506593437292, -77.70337595281549 43.00229215745482, -77.70490744913667 43.01492311538991, -77.72135395627897 43.02032715621365))"
872b8cbb6ffffff,9,"POLYGON ((-73.49908123066118 44.66496352374726, -73.51517714109897 44.6581939899353, -73.51478606249609 44.645318669198325, -73.49830838532851 44.63921285993388, -73.48221694519053 44.64597883226683, -73.48259871179906 44.6588541742535, -73.49908123066118 44.66496352374726))"
872b992d8ffffff,1,"POLYGON ((-77.77012020889933 42.903049016024326, -77.78498394007457 42.895822155538816, -77.78343447286508 42.88320885137139, -77.76702977695489 42.877821705179365, -77.75216900670124 42.88504479930899, -77.75370997067468 42.89765880498955, -77.77012020889933 42.903049016024326))"
872b89025ffffff,235,"POLYGON ((-73.75589446261458 42.74543641238487, -73.7712925534128 42.73875463831626, -73.7708473684425 42.72613691320666, -73.75501265175713 42.72020089425055, -73.7396186027739 42.726879174377835, -73.7400552285149 42.73949696637718, -73.75589446261458 42.74543641238487))"
872aa666cffffff,14,"POLYGON ((-78.60093556304321 42.0917365028206, -78.61540868636291 42.084472246273094, -78.61366297671306 42.07198703848086, -78.59745230576422 42.06676526525421, -78.58298181036463 42.074025755451046, -78.58471935715423 42.08651178426697, -78.60093556304321 42.0917365028206))"
872b992ceffffff,17,"POLYGON ((-77.70755853679324 42.906706073947454, -77.72243338684038 42.89948698577957, -77.72090092844778 42.886872283468186, -77.70450212716666 42.88147597657994, -77.68963025640433 42.88869130160147, -77.691154206886 42.9013066956595, -77.70755853679324 42.906706073947454))"
872b89033ffffff,46,"POLYGON ((-73.88085888079353 42.74239894036167, -73.89623931159547 42.735700318921516, -73.89575989379634 42.72308291087389, -73.87990860259346 42.717164036550635, -73.8645321801565 42.723859154568316, -73.86500304039218 42.73647664930659, -73.88085888079353 42.74239894036167))"
872a1062effffff,14,"POLYGON ((-74.13144917572546 40.60236059879068, -74.14610654023122 40.59578544738584, -74.14558321211271 40.5834853735583, -74.13041032390365 40.57776032192355, -74.11575655529714 40.58433205439229, -74.11627207882304 40.596632256472255, -74.13144917572546 40.60236059879068))"
872b8d4aeffffff,14,"POLYGON ((-73.82438984315081 43.77262997831969, -73.84012779386171 43.765870271688186, -73.83965321171196 43.75311122143993, -73.8234496301668 43.74711180075346, -73.80771588777655 43.753867960498184, -73.80818151844325 43.76662708675725, -73.82438984315081 43.77262997831969))"
872b8906bffffff,7,"POLYGON ((-73.67089532849123 42.539283815031894, -73.68623594664419 42.53262779647406, -73.68581596795387 42.52003941818409, -73.6700638542816 42.514107003551956, -73.65472726410785 42.52075954438552, -73.65513875949578 42.53334797655662, -73.67089532849123 42.539283815031894))"
872b99296ffffff,11,"POLYGON ((-77.9371054106805 43.10303255835552, -77.95200718832093 43.09576804451738, -77.95040503919601 43.08312952573584, -77.93390967998522 43.077754790036565, -77.91901084089189 43.0850155182311, -77.92060442166546 43.097654766767974, -77.9371054106805 43.10303255835552))"
872ab5a8dffffff,1,"POLYGON ((-79.53786259235076 42.23388793753961, -79.5522258813586 42.22649542282149, -79.55022293537769 42.21400762456255, -79.5338648492716 42.20891137397639, -79.5195039394022 42.216300072098456, -79.52149873552221 42.228788836459024, -79.53786259235076 42.23388793753961))"
872a1639bffffff,3,"POLYGON ((-74.62371416750622 41.441974124193074, -74.63857112546881 41.435270592226, -74.63790703552073 41.42284285440925, -74.62239407154513 41.417118444078, -74.60754071653007 41.423818480442215, -74.6081967222867 41.43624642175759, -74.62371416750622 41.441974124193074))"
872b8d4f6ffffff,12,"POLYGON ((-73.80632056049699 43.71560084379738, -73.82204128509571 43.70884736294844, -73.82157236236264 43.69609597498181, -73.80539164405528 43.69009799361803, -73.78967512222373 43.69684793162368, -73.79013511576838 43.709599392779346, -73.80632056049699 43.71560084379738))"
872a1638dffffff,5,"POLYGON ((-74.50219494172003 41.44581385754414, -74.51706942132863 41.43912593102096, -74.5164376725182 41.42669740734342, -74.50093953092053 41.42095662446422, -74.48606868563296 41.427641063820424, -74.48669234738267 41.44006977223925, -74.50219494172003 41.44581385754414))"
872ab5a9bffffff,1,"POLYGON ((-79.66075882571948 42.22464754878155, -79.67509862802589 42.217240795650966, -79.67306311329625 42.20475690817388, -79.65669593282229 42.199678788240156, -79.64235847375235 42.20708172007496, -79.64438585092529 42.219566592198476, -79.66075882571948 42.22464754878155))"
872b89051ffffff,15,"POLYGON ((-73.79665030802843 42.57411351374068, -73.81198589096385 42.56743798122959, -73.81153123867641 42.55484448657966, -73.79574949901448 42.54892644976128, -73.7804179173248 42.555598493208564, -73.78086407390063 42.568192061518154, -73.79665030802843 42.57411351374068))"
872b8d4ccffffff,15,"POLYGON ((-73.73848724713723 43.602377199116354, -73.75417818440775 43.59564055194329, -73.75372938500844 43.58290448137084, -73.73759853342678 43.57690499445646, -73.7219117966446 43.58363810932998, -73.72235171080398 43.596374242364135, -73.73848724713723 43.602377199116354))"
872b8d4daffffff,2,"POLYGON ((-73.86580891828321 43.59937156206632, -73.88148154262612 43.592617378403766, -73.8809972065058 43.579881608926435, -73.86484912938181 43.57389993909782, -73.84918067016467 43.58065058062243, -73.84965612277341 43.5933864330605, -73.86580891828321 43.59937156206632))"
872a1016bffffff,2,"POLYGON ((-73.51120958000615 40.840225687842945, -73.52602050696488 40.8337129609015, -73.52565774970816 40.82137682734464, -73.51049195173131 40.81555338633134, -73.49568480774582 40.82206272852565, -73.4960396786678 40.8343988955132, -73.51120958000615 40.840225687842945))"
872b8a932ffffff,2,"POLYGON ((-75.75000052612522 44.037440750509525, -75.76555378398568 44.030396866072095, -75.76453349539415 44.017608537725955, -75.74796897123998 44.011863705086014, -75.73241942240772 44.0189038893663, -75.73343068821116 44.031692605385196, -75.75000052612522 44.037440750509525))"
872b89760ffffff,3,"POLYGON ((-73.99517720178616 42.47462342123188, -74.01045339165393 42.46792790214581, -74.00994560965324 42.4553484698112, -73.9941700957622 42.449464450415896, -73.97889783815347 42.45615646998787, -73.97939716199714 42.46873600745275, -73.99517720178616 42.47462342123188))"
872b8c34effffff,2,"POLYGON ((-73.56412631478173 44.14312742052033, -73.58002866002181 44.13638071045285, -73.57962373355204 44.12357283382214, -73.56332556113675 44.117511633073136, -73.54742756608202 44.1242548000021, -73.5478233931292 44.13706270974696, -73.56412631478173 44.14312742052033))"
872b8b981ffffff,9,"POLYGON ((-75.05793374228394 43.04904270048214, -75.07325414604335 43.04216278822656, -75.07244665425851 43.029504398508045, -75.056327415971 43.02372564633888, -75.04101075544945 43.030601953992196, -75.04180958962547 43.043260617386125, -75.05793374228394 43.04904270048214))"
872b8886effffff,1,"POLYGON ((-74.04803713718282 43.767113655737056, -74.06374251248724 43.76032309618115, -74.06320528368497 43.747564722482316, -74.04697162730834 43.741596795153185, -74.03127039751277 43.74838379066755, -74.03179867838092 43.76114227649421, -74.04803713718282 43.767113655737056))"
872a10151ffffff,9,"POLYGON ((-73.63232051727451 40.87444186206462, -73.64712697515569 40.86791074649193, -73.6467320519831 40.855569095155275, -73.63153856855709 40.849758506605696, -73.6167358699212 40.856286226635675, -73.61712289535322 40.86862792978975, -73.63232051727451 40.87444186206462))"
872a16b2dffffff,11,"POLYGON ((-73.81396724811827 41.764345290174056, -73.82903490879923 41.757724724612395, -73.82858355312283 41.74524865335812, -73.81307274050033 41.73939306880175, -73.79800893927957 41.74601018230567, -73.79845209107559 41.75848633142897, -73.81396724811827 41.764345290174056))"
872b898ddffffff,7,"POLYGON ((-73.55455685973675 42.80688954605253, -73.57000215325989 42.800231153951415, -73.56961164680621 42.78760507509153, -73.55378442927622 42.78163735246504, -73.53834324134594 42.788292263462004, -73.53872516523695 42.80091837716215, -73.55455685973675 42.80688954605253))"
872b8974cffffff,2,"POLYGON ((-74.02316875588143 42.39835639310441, -74.03841602349969 42.391662463910265, -74.03790146764642 42.37909394580948, -74.02214807410083 42.37321924625837, -74.00690471849022 42.37990967743782, -74.00741084423466 42.39247830516905, -74.02316875588143 42.39835639310441))"
872b8a91effffff,1,"POLYGON ((-75.77598550581325 43.9594316664747, -75.79150819989599 43.95238969791384, -75.7904823598466 43.939611840959394, -75.77394281631547 43.93387555995422, -75.75842381102635 43.94091383038578, -75.75944065998272 43.95369207889622, -75.77598550581325 43.9594316664747))"
872b8c362ffffff,5,"POLYGON ((-73.53426942081865 44.22069278763571, -73.55020306236875 44.21394546639739, -73.54980588952542 44.20112747622255, -73.53348420566137 44.195056778137406, -73.5175549375488 44.20180055512467, -73.51794297973909 44.214618573373855, -73.53426942081865 44.22069278763571))"
872b8a699ffffff,5,"POLYGON ((-76.90323506272144 43.198636571892955, -76.91833111037873 43.19149938044546, -76.91701074705578 43.17883420757942, -76.90060299105629 43.17330565762625, -76.88551019221266 43.18043911697272, -76.88682189991161 43.193104857354754, -76.90323506272144 43.198636571892955))"
872b898cbffffff,3,"POLYGON ((-73.5221429406817 42.76969680286895, -73.53758002208303 42.76304537083987, -73.53719872636654 42.75042459362029, -73.52138891787405 42.74445521760515, -73.50595594392938 42.75110317280236, -73.50632867090998 42.76372397982032, -73.5221429406817 42.76969680286895))"
872b8b62affffff,2,"POLYGON ((-75.74455578294858 42.35904019670294, -75.75955090731998 42.35211979844441, -75.75856890437598 42.33956231204383, -75.74260016280604 42.33392484284421, -75.72760848717037 42.340841623676475, -75.72858210393044 42.35339949013041, -75.74455578294858 42.35904019670294))"
872a15569ffffff,18,"POLYGON ((-72.53783835784766 40.988052393398476, -72.55281570478783 40.981657300645715, -72.55270871285278 40.969302514485456, -72.53763230492949 40.96334293590197, -72.52265899786228 40.969734713223964, -72.52275805888125 40.98208938359039, -72.53783835784766 40.988052393398476))"
872b8e204ffffff,4,"POLYGON ((-75.35508499921649 44.148943442228415, -75.37073537277989 44.141946108542584, -75.36982412210615 44.12914073743335, -75.35327157553411 44.12333237485658, -75.33762504413225 44.13032603020522, -75.33852721671276 44.14313172540244, -75.35508499921649 44.148943442228415))"
872a14582ffffff,2,"POLYGON ((-73.74716445244175 42.04744724955955, -73.76233294985026 42.040815340783865, -73.76189685417322 42.02829778167047, -73.74630056564928 42.022412063422756, -73.73113599207507 42.02904051175124, -73.73156378305208 42.04155813777115, -73.74716445244175 42.04744724955955))"
872b8a950ffffff,3,"POLYGON ((-75.65631175384735 43.86812508089681, -75.67182118359659 43.86110585915121, -75.67083100003558 43.84833930627001, -75.65434034484714 43.842591602194176, -75.63883462360825 43.849607138331926, -75.6398158485779 43.862374063099764, -75.65631175384735 43.86812508089681))"
872a16b63ffffff,35,"POLYGON ((-73.76482929304441 41.67194502917795, -73.77987345076083 41.66533769382781, -73.77943616302886 41.652875362454, -73.76396288899717 41.6470202950208, -73.74892258779673 41.65362418644321, -73.74935170397436 41.66608658823457, -73.76482929304441 41.67194502917795))"
872b9bb08ffffff,23,"POLYGON ((-78.63897938590534 43.36499413136036, -78.653851535963 43.35761803909931, -78.65204634004083 43.34495527288006, -78.63537761709921 43.339667754989456, -78.62050823298077 43.34704001205283, -78.62230480494694 43.35970362120821, -78.63897938590534 43.36499413136036))"
872a16b75ffffff,10,"POLYGON ((-73.79668090958832 41.70859280673678, -73.81173277743211 41.70197857729102, -73.81128660186747 41.68951077403071, -73.79579674263195 41.68365712393433, -73.78074872936514 41.69026790529218, -73.78118672061437 41.702735783841284, -73.79668090958832 41.70859280673678))"
872b8b664ffffff,1,"POLYGON ((-75.60093613522297 42.30820837809418, -75.6159354620976 42.30131074405416, -75.61499351113163 42.288759672736724, -75.5990606045074 42.28310587710348, -75.58406475743921 42.28999990571416, -75.58499833677293 42.30255133438361, -75.60093613522297 42.30820837809418))"
872b8a96affffff,2,"POLYGON ((-75.52541252176701 43.83482515212891, -75.54093002160202 43.82782613691333, -75.5399772859741 43.81506320550209, -75.52351599918212 43.80929893759315, -75.50800224001755 43.816294277754004, -75.5089460265274 43.829057559825024, -75.52541252176701 43.83482515212891))"
872b8c316ffffff,2,"POLYGON ((-73.78110852297004 44.35008370192174, -73.79705392969541 44.34329333165878, -73.79658550798335 44.33045816517375, -73.780180861695 44.324413299839094, -73.76423978395052 44.331200100174435, -73.76469902334681 44.34403533469346, -73.78110852297004 44.35008370192174))"
872b8878bffffff,8,"POLYGON ((-75.20652345498644 43.38701462784306, -75.22193583739956 43.38009055378031, -75.22108104633904 43.367386300542115, -75.20482265549697 43.36160582219319, -75.1894140304633 43.368526264917634, -75.19026003850868 43.381230816288415, -75.20652345498644 43.38701462784306))"
872b8b648ffffff,20,"POLYGON ((-75.65424186133093 42.192812206114695, -75.66919623824423 42.185916385416604, -75.66824221132359 42.17338226426577, -75.6523421357129 42.16774359754737, -75.6373912070582 42.17463581503989, -75.63833690533501 42.18717030145656, -75.65424186133093 42.192812206114695))"
872a16b59ffffff,2,"POLYGON ((-73.85366237197779 41.59491125081869, -73.86867014712709 41.58829771523186, -73.86820982747449 41.575846737787195, -73.85274987675885 41.57000921060699, -73.83774592313509 41.576619299258844, -73.83819809855186 41.58907036103635, -73.85366237197779 41.59491125081869))"
872a10133ffffff,68,"POLYGON ((-73.71290751395799 41.03943341938012, -73.72775592875831 41.032879431107695, -73.7273382991527 41.02051237220838, -73.71208020798522 41.01469923685707, -73.6972355593364 41.02124981553935, -73.69764523557852 41.03361693819005, -73.71290751395799 41.03943341938012))"
872b99a42ffffff,20,"POLYGON ((-77.11421330664622 43.24501966110694, -77.12929184073748 43.23785114210905, -77.12791183906285 43.2251820382884, -77.11146196632235 43.21968085115778, -77.09638662708068 43.22684562324759, -77.09775796505205 43.23951532835873, -77.11421330664622 43.24501966110694))"
872aa40b1ffffff,1,"POLYGON ((-77.12477997761866 42.61580740598686, -77.13965205954555 42.608686928431446, -77.13828797482603 42.596105458373415, -77.12206023700811 42.590643867020276, -77.10719126077264 42.59776062907906, -77.10854691601148 42.610342696990195, -77.12477997761866 42.61580740598686))"
872b8a64bffffff,1,"POLYGON ((-76.51041982664057 43.0653251604146, -76.52553215807245 43.05824997877907, -76.52432381743459 43.04559912302113, -76.5080117662594 43.04002294349479, -76.49290277610693 43.04709442360933, -76.49410249527286 43.05974578375212, -76.51041982664057 43.0653251604146))"
872b8c3a6ffffff,2,"POLYGON ((-73.86273731394344 44.3674569153833, -73.87867755947072 44.360653895738764, -73.87818576524064 44.347816423575296, -73.86176291427213 44.34178188865049, -73.84582697795227 44.34858133109704, -73.84630958321273 44.36141888458723, -73.86273731394344 44.3674569153833))"
872b8a65dffffff,3,"POLYGON ((-76.54549582367089 43.10178964426898, -76.56061483074811 43.09470705359948, -76.55939585651188 43.08205149635419, -76.54306650843549 43.07647801858688, -76.52795083802519 43.083556903740885, -76.52916117844019 43.09621297115784, -76.54549582367089 43.10178964426898))"
872aa408bffffff,4,"POLYGON ((-77.11256444757515 42.50262704109179, -77.1274020065384 42.495517195055314, -77.12604459013184 42.482951612192785, -77.10985800293585 42.47749527935272, -77.09502353788132 42.48460141639874, -77.0963725654685 42.49716759428119, -77.11256444757515 42.50262704109179))"
872a16442ffffff,1,"POLYGON ((-75.02293395414868 41.74663555199178, -75.03783376130086 41.739856579230654, -75.03705818908263 41.72738462459612, -75.02139099356344 41.72169137605952, -75.00649473373832 41.72846681031629, -75.00726212178677 41.74093903062371, -75.02293395414868 41.74663555199178))"
872b8e2ecffffff,1,"POLYGON ((-75.37633853750378 43.99419120439831, -75.39193253590098 43.987201551178046, -75.39101841497907 43.97441664527787, -75.37451931114039 43.96862106445496, -75.35892912269144 43.975607045269115, -75.35983422770569 43.98839227825236, -75.37633853750378 43.99419120439831))"
872b8b6c2ffffff,77,"POLYGON ((-75.92113280393072 42.23826976346844, -75.93606332697661 42.23133550191579, -75.93503606054846 42.21879656911459, -75.91908660811637 42.21319148969896, -75.9041594683599 42.22012212839592, -75.90517839728511 42.2326614683652, -75.92113280393072 42.23826976346844))"
872a14532ffffff,6,"POLYGON ((-73.54883792970206 42.10845909429812, -73.56405221350765 42.101849580053056, -73.56366917411391 42.08932345868436, -73.54808017778262 42.08340681480522, -73.5328698787594 42.09001288098457, -73.53324459117526 42.10253903810335, -73.54883792970206 42.10845909429812))"
872b8a671ffffff,3,"POLYGON ((-76.52128902802477 43.17927105437532, -76.53643726182062 43.17218578832816, -76.53522290695868 43.15951932178016, -76.51886898166936 43.153937613431346, -76.50372410269465 43.161019171582666, -76.50492979360475 43.17368614495604, -76.52128902802477 43.17927105437532))"
872b99ac8ffffff,31,"POLYGON ((-77.28123823899035 43.17874699344927, -77.29626888115592 43.17156172479933, -77.29484480915679 43.158903750049056, -77.2783987251465 43.15343041577626, -77.26337122067459 43.160611931204755, -77.26478666181872 43.173270533114525, -77.28123823899035 43.17874699344927))"
872b8c38affffff,1,"POLYGON ((-73.92294064468712 44.25042501524361, -73.93883139731429 44.24362085694458, -73.9383238245673 44.23079858786741, -73.92193464023403 44.22478038471416, -73.90604815761395 44.23158096642929, -73.90654658913049 44.24440332680657, -73.92294064468712 44.25042501524361))"
872b897a4ffffff,1,"POLYGON ((-74.3128448462539 42.61721098370444, -74.32812540216568 42.61046246041762, -74.32752917704666 42.5978628386391, -74.31166090367705 42.59201158397641, -74.2963842205123 42.59875657720405, -74.29697193774062 42.611356354133285, -74.3128448462539 42.61721098370444))"
872b8b6d4ffffff,2,"POLYGON ((-75.95511965917636 42.2745691305803, -75.9700569430003 42.267627617306516, -75.969019656026 42.2550836991991, -75.95305343432032 42.24948088071592, -75.93811952991544 42.25641876712761, -75.93914846733009 42.26896309788475, -75.95511965917636 42.2745691305803))"
872b8b945ffffff,1,"POLYGON ((-74.70558025249063 42.94670319249489, -74.72091618495405 42.93987821859943, -74.72020750497681 42.92723292600828, -74.70417151761302 42.921412388789875, -74.68883940766156 42.92823378814635, -74.68953946226667 42.940879298230904, -74.70558025249063 42.94670319249489))"
872b8a9aeffffff,4,"POLYGON ((-75.85772811290275 43.97531720855584, -75.87324395155451 43.9682629703286, -75.87219475569023 43.9554835928754, -75.85563871552937 43.949758047772136, -75.84012654453326 43.9568085816127, -75.8411667455364 43.96958836388777, -75.85772811290275 43.97531720855584))"
872a1640cffffff,1,"POLYGON ((-75.07468966138931 41.83860562800899, -75.08961178413789 41.831812864233484, -75.08882075949242 41.81932754531715, -75.07311582738312 41.81363471529201, -75.05819725253771 41.820423932450474, -75.05898006157054 41.83290952525831, -75.07468966138931 41.83860562800899))"
872b8b91dffffff,15,"POLYGON ((-74.88381658907892 43.03596059743743, -74.8991572931621 43.029105161441564, -74.89839805920724 43.01644796112836, -74.88230677681058 43.01064594983474, -74.86696986150106 43.01749779420374, -74.8677204394898 43.03015524046187, -74.88381658907892 43.03596059743743))"
